merchant_id,merchant_name,category,country,onboard_date,risk_score
55,"Arellano, Schneider and Adams",Food,IN,2023-09-18,0.241
56,Williams LLC,Travel,IN,2025-02-11,0.274
57,"Wells, Small and Gallagher",Electronics,IN,2024-01-18,0.509
58,Molina Group,Travel,US,2023-06-23,0.236
59,White LLC,Food,UK,2025-10-03,0.078
60,"Bates, Johnson and Wilson",Retail,US,2023-07-02,0.905
61,White Inc,Food,UK,2025-06-28,0.993
62,Gomez Ltd,Electronics,IN,2025-11-07,0.597
63,Hernandez and Sons,Food,US,2025-06-09,0.797
64,Holmes and Sons,Travel,US,2023-06-11,0.186
65,Miller PLC,Travel,IN,2023-10-13,0.178
66,Salazar-Tyler,Retail,UK,2026-03-01,0.957
67,Crawford Ltd,Travel,IN,2025-04-26,0.88
68,"Miller, Davis and Lopez",Electronics,IN,2025-05-13,0.56
69,Rowe-Dawson,Food,US,2023-07-27,0.157
70,"Bell, Lee and Harris",Electronics,US,2026-04-18,0.149
71,Powers-Garcia,Electronics,IN,2024-04-28,0.063
72,Taylor-Young,Retail,IN,2024-10-25,0.961
73,Taylor and Sons,Food,IN,2023-08-14,0.906
74,"Kennedy, Cowan and Cardenas",Travel,UK,2025-12-01,0.858
75,"Cook, Nelson and Glover",Retail,UK,2023-11-26,0.33
76,Rodriguez LLC,Retail,US,2024-06-08,0.163
77,"Mcdonald, Miller and Howard",Retail,US,2023-08-09,0.238
78,"Hayes, Lee and Thomas",Electronics,UK,2025-10-05,0.535
79,"Wright, Taylor and Greene",Retail,UK,2024-02-25,0.263
80,Arnold-Gonzalez,Retail,US,2023-08-21,0.943
81,"Davis, Foster and Glover",Travel,US,2024-06-03,0.289
82,Gill LLC,Travel,IN,2025-11-06,0.866
83,Moore LLC,Travel,IN,2024-11-18,0.103
84,Payne-Simpson,Travel,IN,2025-10-02,0.669
85,"Luna, Gardner and Griffin",Retail,UK,2024-09-03,0.639
86,"Gilbert, Chambers and Khan",Retail,IN,2025-07-05,0.052
87,Clements-Austin,Food,US,2026-01-12,0.241
88,"Grimes, Vazquez and Thompson",Electronics,IN,2025-12-19,0.281
89,Williams-Miller,Retail,UK,2023-11-11,0.16
90,"Brooks, Cooper and Adams",Travel,UK,2025-02-11,0.108
91,"Thomas, Bowers and Sweeney",Electronics,IN,2023-06-28,0.453
92,Oconnor PLC,Travel,UK,2025-03-11,0.809
93,Montgomery-Munoz,Electronics,IN,2023-12-07,0.264
94,Sanchez-Richardson,Retail,IN,2023-05-18,0.925
95,"Benson, Campbell and Chavez",Travel,IN,2025-01-12,0.066
96,Solis-Johnson,Retail,UK,2026-01-11,0.471
97,James-Hopkins,Electronics,UK,2025-08-06,0.646
98,Moore-Carlson,Travel,US,2024-05-12,0.734
99,Orr-Woods,Travel,US,2024-04-04,0.26
100,"Holder, Ross and Hill",Food,US,2024-01-07,0.878
101,Dixon-Holmes,Travel,UK,2025-03-24,0.188
102,"Woodard, Castro and Phillips",Food,US,2023-12-14,0.117
103,"Wells, Sanchez and Williams",Travel,US,2024-03-08,0.13
104,Harrison-Wheeler,Food,UK,2024-07-12,0.406
105,"Flores, Nelson and Molina",Food,US,2024-01-18,0.205
106,Day-Jackson,Food,US,2025-04-22,0.266
107,Rose-Galvan,Travel,IN,2026-04-19,0.642
108,"Wallace, Rodriguez and Maldonado",Travel,US,2025-06-13,0.441
109,"Pennington, Jackson and Pruitt",Travel,IN,2026-04-09,0.988
110,Chavez-Simmons,Food,UK,2023-10-21,0.531
111,"Johnson, Friedman and Meyer",Food,US,2026-03-14,0.233
112,Perez Group,Food,US,2024-01-07,0.341
113,Weaver-Hardin,Travel,UK,2024-03-28,0.853
114,Bryant PLC,Electronics,UK,2025-07-24,0.266
115,"Mitchell, Richardson and Chavez",Electronics,UK,2025-08-31,0.205
116,Hernandez PLC,Travel,US,2024-02-26,0.49
117,Hill-Edwards,Electronics,IN,2023-09-20,0.385
118,Taylor-Rivera,Travel,UK,2025-12-26,0.328
119,"Ross, Smith and Copeland",Electronics,IN,2023-11-23,0.066
120,Garcia-Harper,Travel,UK,2023-05-31,0.703
121,Taylor-Adams,Electronics,IN,2025-01-27,0.5
122,"Benton, Smith and Jordan",Food,UK,2026-02-10,0.458
123,Perkins Inc,Electronics,US,2025-12-01,0.158
124,Thomas-Diaz,Travel,US,2025-08-03,0.795
125,Powers PLC,Electronics,UK,2025-09-02,0.713
126,"Lyons, Ramirez and Bryant",Food,IN,2026-02-04,0.994
127,"Vaughan, Smith and Gillespie",Electronics,IN,2025-06-19,0.764
128,Dodson-Richardson,Electronics,IN,2024-05-24,0.674
129,Jordan Inc,Travel,US,2026-03-24,0.445
130,"Williams, Hudson and Williams",Food,UK,2024-03-27,0.758
131,"Kelly, Jennings and Pennington",Travel,UK,2025-12-01,0.97
132,Moreno Ltd,Travel,UK,2025-08-26,0.191
133,"Chan, Craig and Arias",Food,IN,2024-06-27,0.297
134,Blair-Hall,Food,UK,2023-05-18,0.328
135,Johnson-Williams,Food,US,2025-11-11,0.101
136,Meyer-Wilson,Electronics,IN,2023-07-27,0.714
137,Simpson-Green,Retail,UK,2024-09-05,0.679
138,"Mcmahon, Hudson and Munoz",Retail,US,2026-02-26,0.895
139,Raymond-Brown,Food,UK,2023-08-11,0.328
140,Merritt Inc,Food,US,2023-09-18,0.414
141,Stone PLC,Food,US,2023-10-20,0.215
142,"Russell, Duran and Horn",Food,IN,2023-11-22,0.856
143,"Miller, Brown and Haley",Electronics,US,2023-09-03,0.692
144,Cooper PLC,Food,UK,2023-07-28,0.991
145,Wilcox Group,Electronics,UK,2025-03-20,0.158
146,"Russell, Arnold and Beasley",Food,UK,2023-06-14,0.632
147,Riley-Hoover,Travel,IN,2024-04-27,0.721
148,"Mcintyre, Adams and King",Food,UK,2025-09-06,0.796
149,Williams Inc,Food,US,2023-08-31,0.615
150,"Ball, Smith and Mccall",Electronics,IN,2024-07-03,0.34
151,Gibson Inc,Electronics,US,2023-12-19,0.06
152,"Brown, Villarreal and Mcintosh",Travel,US,2025-12-09,0.488
153,"Obrien, Lee and Erickson",Food,UK,2024-10-09,0.018
154,"Anthony, Caldwell and Roberts",Electronics,US,2024-04-17,0.514
155,"Riggs, Martinez and Molina",Food,IN,2025-04-07,0.218
156,Bernard and Sons,Electronics,UK,2025-05-18,0.48
157,Castillo Inc,Travel,IN,2025-09-26,0.816
158,Castillo-Burton,Travel,IN,2025-02-23,0.741
159,Vaughan-Collins,Food,US,2024-06-25,0.562
160,Smith Ltd,Travel,US,2025-10-28,0.05
161,"Barrett, Lee and Shelton",Retail,UK,2023-11-14,0.1
162,Smith Ltd,Retail,UK,2026-01-12,0.695
163,Henry Inc,Retail,US,2025-06-22,0.614
164,Martinez Ltd,Electronics,IN,2024-01-12,0.252
165,Mason LLC,Retail,UK,2026-03-29,0.51
166,Middleton-Vaughan,Food,IN,2024-03-12,0.355
167,Parker-Erickson,Electronics,US,2023-11-24,0.738
168,"Valenzuela, Griffin and Hood",Travel,US,2023-09-26,0.518
169,Thompson-Knight,Electronics,UK,2025-06-13,0.478
170,Jackson Group,Food,UK,2026-01-25,0.793
171,Cobb-Beard,Food,UK,2024-07-19,0.944
172,Hancock-Diaz,Electronics,UK,2024-02-02,0.498
173,Thomas and Sons,Electronics,US,2026-03-06,0.413
174,Schultz-Travis,Retail,IN,2024-12-02,0.999
175,Ramos-King,Retail,UK,2024-03-25,0.289
176,"Bryant, Wilson and Rivera",Retail,UK,2024-10-31,0.217
177,Campbell and Sons,Food,IN,2023-07-31,0.209
178,"Mitchell, Saunders and Chapman",Travel,UK,2024-06-30,0.979
179,Crosby-Tran,Retail,IN,2025-09-16,0.815
180,"Sullivan, Sanchez and Young",Electronics,UK,2024-05-22,0.213
181,"Gonzalez, Bailey and Faulkner",Electronics,IN,2025-11-15,0.768
182,"Smith, Brock and Robinson",Food,US,2023-09-27,0.066
183,"Hernandez, Johnson and Payne",Travel,IN,2023-05-24,0.493
184,Elliott LLC,Electronics,UK,2023-11-19,0.842
185,"Carroll, Simon and Cherry",Travel,US,2025-09-12,0.159
186,"Burton, Schultz and Gray",Travel,IN,2026-03-13,0.116
187,Wallace-White,Electronics,US,2024-05-28,0.049
188,Morgan-Lewis,Food,UK,2023-08-23,0.094
189,Stevens-Hunt,Electronics,US,2025-03-06,0.058
190,Miles-Taylor,Electronics,UK,2025-02-11,0.306
191,Hunter Inc,Retail,US,2023-05-28,0.131
192,Murphy-Ray,Travel,UK,2024-11-13,0.616
193,Owens Group,Travel,UK,2024-05-22,0.909
194,Hunt LLC,Electronics,UK,2023-12-04,0.744
195,Wright-Nash,Food,IN,2024-11-30,0.604
196,"Villarreal, Rodriguez and Mclean",Electronics,IN,2024-02-06,0.437
197,Coleman Ltd,Travel,US,2023-07-18,0.436
198,Wilson-Schneider,Electronics,IN,2023-04-25,0.688
199,Joyce-Olson,Electronics,UK,2024-06-05,0.396
200,"Nielsen, Andrews and Garcia",Travel,US,2025-04-03,0.495
201,Beard-Lopez,Travel,US,2024-08-11,0.387
202,"Robbins, Davis and Chase",Retail,UK,2024-05-21,0.405
203,"Harrison, May and Cohen",Food,US,2024-07-07,0.62
204,Moreno-Vaughn,Electronics,UK,2024-07-02,0.209
205,Simpson-Garcia,Retail,UK,2024-12-05,0.566
206,Johnson Group,Electronics,UK,2024-08-20,0.247
207,"Thompson, Garcia and Brown",Retail,US,2025-08-22,0.797
208,Woodard-Walton,Food,IN,2025-01-22,0.851
209,Silva-Adams,Retail,US,2024-01-24,0.891
210,"Stanley, Horn and Cooper",Food,UK,2025-08-19,0.035
211,Terry Inc,Electronics,UK,2026-04-04,0.486
212,Wallace-Alexander,Retail,UK,2024-11-11,0.179
213,Stein-Wood,Retail,IN,2025-10-06,0.325
214,"Marsh, Rios and Farmer",Retail,US,2026-03-24,0.668
215,Harris and Sons,Food,IN,2025-03-08,0.661
216,Johnson and Sons,Electronics,UK,2025-12-24,0.99
217,"Anderson, Kidd and Howard",Retail,UK,2024-04-15,0.725
218,Reed-Lam,Food,UK,2025-10-19,0.704
219,Gonzalez Inc,Travel,IN,2025-08-14,0.84
220,"Welch, Reese and King",Travel,US,2026-01-11,0.348
221,Dalton Ltd,Retail,IN,2025-02-11,0.147
222,Ballard LLC,Electronics,UK,2024-06-22,0.645
223,Smith-Huerta,Travel,UK,2023-11-15,0.484
224,Williamson PLC,Travel,IN,2024-05-14,0.828
225,Martinez-Christian,Food,UK,2024-01-13,0.481
226,Davidson-Pena,Retail,US,2023-11-14,0.762
227,"Bradshaw, Cole and Lowery",Food,IN,2023-05-28,0.179
228,"Green, Davis and Zamora",Retail,US,2026-03-21,0.642
229,Webb-Nicholson,Retail,UK,2023-12-10,0.778
230,"Silva, Maynard and Gutierrez",Travel,US,2024-11-06,0.387
231,Smith-Hoover,Travel,UK,2025-10-08,0.132
232,Williams and Sons,Travel,UK,2024-03-16,0.856
233,"Wood, Gonzalez and Long",Travel,UK,2025-07-17,0.491
234,Miller LLC,Electronics,UK,2026-01-29,0.899
235,Perry Inc,Travel,UK,2024-05-06,0.132
236,Ramos Inc,Retail,US,2026-01-17,0.678
237,Roth-Clark,Electronics,IN,2025-05-29,0.268
238,"Best, Miller and James",Travel,US,2023-12-05,0.996
239,Rodriguez-Delacruz,Electronics,US,2024-04-18,0.156
240,Howard Group,Retail,UK,2025-11-19,0.561
241,"Howard, Harris and Gordon",Food,IN,2025-04-04,0.99
242,"Brown, Mcdowell and Ramirez",Electronics,IN,2025-06-25,0.682
243,Andrews Ltd,Retail,UK,2023-11-11,0.553
244,Williams Ltd,Travel,IN,2025-03-01,0.151
245,"Barrera, Baker and James",Food,US,2024-07-29,0.383
246,Ross Group,Retail,IN,2025-10-07,0.557
247,"Jones, Ruiz and Jones",Travel,UK,2024-08-21,0.173
248,"Vargas, Jackson and Mcpherson",Retail,IN,2024-05-15,0.994
249,Rivera-Morris,Electronics,UK,2023-05-16,0.178
250,Harris-Lee,Travel,IN,2025-06-26,0.06
251,"Fuentes, Reyes and Pruitt",Food,IN,2025-06-02,0.23
252,Baker and Sons,Food,UK,2025-07-16,0.657
253,Richard Inc,Food,IN,2023-05-19,0.948
254,Wright-Powell,Retail,US,2026-03-12,0.325
255,"Arnold, Taylor and Flores",Food,UK,2026-03-08,0.662
256,Smith and Sons,Travel,US,2026-04-16,0.892
257,Pruitt LLC,Electronics,UK,2023-04-28,0.497
258,"Romero, Nielsen and Beard",Retail,US,2024-02-02,0.936
259,Bowman-Lewis,Retail,UK,2024-10-01,0.379
260,"Romero, Tucker and Stewart",Retail,US,2023-05-24,0.241
261,Rodriguez Group,Electronics,UK,2023-10-09,0.681
262,White-Jones,Retail,IN,2026-03-29,0.039
263,"Mccann, Oconnor and Kelly",Electronics,US,2025-05-22,0.04
264,Gomez-Martinez,Travel,UK,2023-10-07,0.613
265,Perez and Sons,Electronics,US,2024-03-16,0.722
266,Oliver LLC,Electronics,UK,2023-05-08,0.625
267,Bruce-Simmons,Travel,US,2026-03-14,0.852
268,Harris-Trujillo,Food,IN,2024-07-10,0.228
269,Marsh-Hall,Retail,UK,2026-02-09,0.279
270,"Johnson, Mitchell and Allen",Travel,IN,2023-09-10,0.234
271,Stewart Ltd,Food,US,2023-06-26,0.103
272,Anderson-King,Electronics,US,2026-04-06,0.228
273,Reid-Allen,Travel,UK,2025-04-25,0.495
274,Hernandez-Powell,Electronics,IN,2026-02-05,0.893
275,"Mcguire, Cunningham and Miller",Electronics,IN,2026-02-23,0.377
276,"Wilson, Hampton and Smith",Electronics,UK,2024-03-24,0.417
277,Reyes and Sons,Food,US,2024-02-13,0.108
278,Rodriguez Inc,Travel,UK,2023-11-03,0.771
279,Moore-Rowe,Retail,UK,2025-03-10,0.028
280,Graham-Shaffer,Food,US,2024-12-11,0.193
281,"Garcia, Rush and Hunter",Electronics,IN,2025-02-04,0.707
282,Thompson-Strong,Retail,IN,2024-12-13,0.189
283,Johnson-Jennings,Retail,US,2025-01-02,0.147
284,Vazquez-Durham,Retail,US,2025-10-29,0.675
285,Parker Inc,Retail,UK,2026-03-12,0.024
286,"Anderson, Gardner and Powers",Travel,US,2024-06-24,0.196
287,Curtis Ltd,Food,UK,2023-12-26,0.238
288,Johns-Cohen,Travel,IN,2026-01-30,0.965
289,Ortiz-Rodriguez,Travel,US,2024-08-28,0.901
290,White Group,Food,US,2025-06-01,0.201
291,"Osborne, Weiss and Harper",Food,US,2023-10-06,0.726
292,Mason-Wood,Retail,UK,2025-11-27,0.583
293,Martin PLC,Food,IN,2025-01-08,0.682
294,Robinson-Petty,Food,US,2023-08-26,0.957
295,"Brown, Moore and Howell",Travel,IN,2024-10-19,0.322
296,"Hoffman, Allen and Smith",Food,UK,2024-10-02,0.145
297,Bean-Edwards,Retail,US,2025-10-08,0.906
298,"Munoz, Wells and Robles",Retail,IN,2025-03-07,0.384
299,"Duncan, Ellis and Wilson",Retail,US,2023-05-03,0.37
300,Gallagher-Goodwin,Electronics,UK,2023-11-16,0.493
301,"Young, Foster and Wilson",Food,IN,2025-06-05,0.925
302,Richards LLC,Retail,US,2024-02-03,0.685
303,Jackson and Sons,Retail,US,2025-01-23,0.337
304,"Sanchez, Wang and Nelson",Food,IN,2023-11-18,0.808
305,Davis Inc,Food,IN,2025-07-17,0.176
306,Soto-Johnson,Electronics,IN,2023-10-20,0.693
307,Davis-Wood,Electronics,IN,2025-11-15,0.708
308,Kim-Bush,Electronics,UK,2023-12-03,0.326
309,"Thompson, Khan and Leonard",Retail,IN,2025-07-30,0.461
310,"Hughes, Velasquez and Brown",Electronics,US,2023-12-14,0.213
311,"West, Cameron and Mack",Food,US,2026-04-13,0.266
312,Stanton Group,Food,IN,2024-02-15,0.091
313,"Roberts, Bennett and Browning",Food,IN,2025-03-01,0.437
314,Bonilla-Brown,Electronics,UK,2025-08-01,0.994
315,Dudley LLC,Travel,IN,2024-02-01,0.824
316,"Johnson, Griffin and Fisher",Retail,IN,2024-10-23,0.4
317,Alexander Group,Travel,US,2024-04-10,0.21
318,Hardin-Patterson,Food,UK,2025-10-25,0.66
319,Wong PLC,Food,UK,2025-01-20,0.632
320,Castaneda-Wilson,Food,IN,2024-04-11,0.566
321,Cooper Inc,Travel,IN,2023-11-12,0.802
322,Savage-Smith,Retail,US,2025-03-02,0.45
323,Ware-Gross,Electronics,US,2023-06-30,0.839
324,Walker-Castillo,Travel,IN,2024-08-20,0.714
325,Johnson Ltd,Retail,US,2024-09-09,0.678
326,"King, Holland and Trujillo",Food,IN,2025-07-28,0.428
327,"Joseph, White and Bradshaw",Food,IN,2025-04-09,0.117
328,Jones-Dixon,Food,US,2026-03-05,0.353
329,"Brown, Castillo and Kennedy",Retail,IN,2023-10-14,0.419
330,Butler PLC,Electronics,IN,2023-09-08,0.557
331,"Levy, Joseph and Williams",Food,US,2025-08-08,0.764
332,Haley LLC,Travel,US,2023-05-12,0.448
333,Garcia PLC,Retail,IN,2024-03-19,0.137
334,"Griffin, Barker and Williams",Travel,UK,2024-07-29,0.208
335,Evans-Brown,Travel,UK,2025-03-12,0.665
336,Jefferson PLC,Food,US,2024-07-01,0.148
337,"Smith, Gonzales and Young",Electronics,US,2023-07-18,0.111
338,"Franklin, Mclean and Henry",Retail,UK,2024-02-22,0.621
339,Thomas LLC,Retail,US,2025-07-18,0.911
340,Haas and Sons,Food,US,2024-01-06,0.995
341,"Riggs, Hooper and Harrell",Travel,IN,2025-10-22,0.493
342,Houston-Yates,Electronics,UK,2023-12-25,0.893
343,Smith and Sons,Food,US,2024-03-11,0.267
344,Bailey-Gutierrez,Travel,US,2025-10-10,0.039
345,Hernandez Ltd,Retail,UK,2026-04-23,0.687
346,Mills Ltd,Food,UK,2025-06-22,0.747
347,Pruitt Ltd,Retail,IN,2023-11-11,0.43
348,Alvarado Inc,Travel,UK,2024-12-28,0.401
349,Williamson-Hobbs,Electronics,IN,2025-09-22,0.72
350,Ruiz Ltd,Retail,US,2023-11-17,0.99
351,Porter-Hill,Travel,IN,2025-12-25,0.877
352,"Jackson, Walker and Harris",Retail,UK,2026-03-10,0.458
353,Ross-Douglas,Retail,IN,2026-02-17,0.209
354,Skinner-Ellis,Retail,US,2023-09-04,0.347
355,Daniel-Roberts,Food,IN,2024-03-11,0.727
356,Rich-Johnson,Food,IN,2025-07-23,0.89
357,Daniel-Fowler,Travel,UK,2024-01-14,0.64
358,"Wright, Smith and Tanner",Electronics,IN,2024-10-19,0.336
359,Richards-Franco,Food,IN,2026-01-25,0.202
360,"Cohen, Neal and Donaldson",Retail,UK,2023-11-04,0.719
361,Thomas Group,Electronics,IN,2026-04-05,0.573
362,"Watson, Waters and Santos",Travel,IN,2023-11-08,0.445
363,"Smith, Allen and Sanders",Electronics,IN,2025-05-07,0.789
364,"Wells, Giles and Harmon",Travel,US,2024-06-06,0.226
365,Bauer Group,Electronics,US,2023-07-03,0.002
366,Gallegos and Sons,Travel,US,2026-01-15,0.397
367,Daugherty LLC,Retail,US,2024-06-01,0.257
368,White Group,Travel,UK,2026-03-14,0.405
369,"Hall, Campbell and Hall",Food,UK,2025-10-28,0.996
370,Hinton and Sons,Food,IN,2024-05-08,0.168
371,Schmitt-Lee,Retail,IN,2025-05-17,0.12
372,Buchanan Group,Retail,IN,2024-06-27,0.018
373,Lee Inc,Electronics,US,2023-06-02,0.799
374,Simon-Harvey,Food,US,2025-03-11,0.527
375,Gordon-Hebert,Travel,IN,2024-02-03,0.428
376,Randolph-Garcia,Food,IN,2026-03-07,0.367
377,"Kirk, Garcia and White",Electronics,US,2024-10-20,0.298
378,King-Thomas,Electronics,US,2026-01-18,0.319
379,Mcgee Group,Food,US,2026-01-16,0.747
380,Simmons Group,Electronics,US,2023-05-23,0.29
381,Lloyd-Sparks,Food,IN,2025-08-26,0.737
382,White-Taylor,Retail,UK,2023-06-19,0.863
383,Downs-Wolfe,Electronics,UK,2024-10-25,0.974
384,Smith LLC,Food,US,2026-02-02,0.42
385,Wheeler LLC,Retail,US,2025-03-30,0.835
386,"Aguirre, Franklin and Jones",Retail,UK,2025-03-06,0.423
387,Castro PLC,Retail,IN,2024-08-01,0.956
388,"Freeman, Moran and Hill",Electronics,UK,2023-11-24,0.712
389,Johnson-Williams,Travel,IN,2023-08-30,0.691
390,"Cooper, Sutton and Welch",Travel,IN,2024-06-14,0.246
391,Webb-Reyes,Electronics,US,2024-08-20,0.637
392,"Wilson, Hatfield and Davis",Electronics,US,2025-07-06,0.748
393,Meyer-Sanchez,Food,IN,2024-12-18,0.592
394,Clarke Inc,Retail,IN,2023-06-07,0.057
395,Martinez-Lyons,Retail,US,2023-11-03,0.978
396,Cross-Wiley,Electronics,UK,2025-04-08,0.63
397,Miller-Coleman,Travel,US,2024-04-20,0.249
398,Knight Ltd,Retail,IN,2023-11-26,0.742
399,Williams-Lucas,Travel,US,2024-11-24,0.508
400,Jones-Ho,Retail,UK,2025-05-29,0.402
401,Barker LLC,Food,UK,2024-05-08,0.866
402,Reynolds Ltd,Travel,UK,2023-10-05,0.009
403,"Smith, Brown and Garza",Travel,US,2026-02-13,0.282
404,Sanders-Holloway,Food,UK,2024-06-22,0.149
405,Payne Ltd,Food,US,2024-12-08,0.219
406,Ferrell-Stewart,Retail,IN,2023-10-18,0.586
407,Ramirez PLC,Travel,IN,2025-08-06,0.877
408,Scott-Phillips,Food,IN,2023-11-07,0.606
409,"Edwards, Rogers and Koch",Food,UK,2025-06-02,0.013
410,Romero-White,Food,US,2023-10-24,0.811
411,Leon LLC,Electronics,IN,2025-03-06,0.807
412,"Jordan, Ross and Daniels",Retail,UK,2025-05-23,0.723
413,Patel-Horn,Electronics,US,2024-11-02,0.729
414,Rivera-Hill,Food,UK,2023-10-11,0.229
415,"Martin, Johnson and Douglas",Food,UK,2025-01-31,0.517
416,Carpenter-Conway,Travel,UK,2024-03-27,0.405
417,Pineda-Wheeler,Travel,IN,2024-10-03,0.95
418,Cook-Kim,Travel,UK,2025-10-15,0.414
419,"Ibarra, Bryan and Burns",Food,US,2024-03-12,0.427
420,Smith-Jackson,Electronics,UK,2024-12-03,0.285
421,"Ruiz, Brooks and Carr",Electronics,US,2024-05-09,0.79
422,"Long, Harrison and Cox",Retail,UK,2024-09-10,0.11
423,Rose-Cox,Food,US,2024-04-12,0.351
424,Berg Ltd,Food,US,2023-09-06,0.183
425,"Crawford, Hester and White",Electronics,IN,2025-01-20,0.242
426,Nguyen LLC,Travel,US,2025-05-14,0.107
427,Carey Group,Travel,UK,2024-02-20,0.846
428,Henderson-Foley,Food,US,2023-06-16,0.658
429,Williams-Perez,Retail,UK,2023-05-07,0.221
430,Hernandez and Sons,Retail,UK,2023-11-16,0.095
431,Cruz-Ramirez,Retail,US,2023-11-11,0.614
432,"Adams, Campbell and Campbell",Travel,US,2024-07-28,0.501
433,"Gray, Brown and Smith",Travel,UK,2024-12-19,0.342
434,"Kemp, Ferguson and Flores",Retail,UK,2025-02-05,0.747
435,Huang LLC,Electronics,UK,2024-07-02,0.282
436,Olson-Walker,Travel,UK,2025-03-28,0.626
437,"Owens, Wilkerson and Mitchell",Electronics,UK,2024-09-03,0.106
438,"Klein, Goodwin and Guzman",Travel,US,2024-10-09,0.289
439,Mcdowell-Rhodes,Electronics,IN,2025-12-21,0.78
440,"Moore, Perez and King",Travel,US,2024-10-05,0.879
441,Williams Inc,Travel,IN,2024-09-07,0.093
442,Clark-Carpenter,Retail,IN,2025-08-07,0.456
443,Smith LLC,Food,UK,2024-01-24,0.904
444,Lara-Blair,Travel,US,2025-01-06,0.843
445,Reyes Ltd,Travel,IN,2025-10-04,0.998
446,"Walker, Noble and Hughes",Food,US,2023-07-10,0.013
447,"Wheeler, Rodriguez and Espinoza",Retail,US,2024-04-08,0.519
448,Hoffman PLC,Retail,IN,2024-04-28,0.837
449,"Clark, Rios and Olsen",Food,UK,2024-06-30,0.003
450,Patterson Ltd,Retail,UK,2024-10-22,0.978
451,Velazquez-Collier,Retail,UK,2025-07-09,0.218
452,"Cruz, Callahan and Macdonald",Electronics,IN,2025-03-15,0.682
453,Compton LLC,Electronics,UK,2023-06-21,0.596
454,Frank Group,Food,UK,2024-03-16,0.228
455,Perez-Grant,Travel,IN,2025-09-13,0.632
456,"Myers, Davis and Schmitt",Travel,US,2023-08-31,0.211
457,Carr Ltd,Retail,US,2025-07-08,0.272
458,"Rowe, Brown and Moore",Retail,US,2023-11-17,0.781
459,Hansen LLC,Food,UK,2023-09-07,0.956
